DayOfWeek,Period,NbrAppliances,Hour,KWH-6,KWH-5,KWH-4,KWH-3,KWH-2,KWH-1,KWH
1,3,2,4,0.103,0.08,0.108,0.106,0.074,0.11,0.114
1,3,2,5,0.08,0.108,0.106,0.074,0.11,0.114,1.189
1,3,3,6,0.108,0.106,0.074,0.11,0.114,1.189,0.244
1,4,3,1,0.106,0.074,0.11,0.114,1.189,0.244,0.109
1,4,1,2,0.074,0.11,0.114,1.189,0.244,0.109,0.071
1,4,3,3,0.11,0.114,1.189,0.244,0.109,0.071,0.111
1,4,2,4,0.114,1.189,0.244,0.109,0.071,0.111,0.11
1,4,3,5,1.189,0.244,0.109,0.071,0.111,0.11,0.076
1,4,2,6,0.244,0.109,0.071,0.111,0.11,0.076,0.105
2,1,2,1,0.109,0.071,0.111,0.11,0.076,0.105,0.086
2,1,3,2,0.071,0.111,0.11,0.076,0.105,0.086,0.065
2,1,3,3,0.111,0.11,0.076,0.105,0.086,0.065,0.104
2,1,3,4,0.11,0.076,0.105,0.086,0.065,0.104,0.108
2,1,2,5,0.076,0.105,0.086,0.065,0.104,0.108,0.088
2,1,3,6,0.105,0.086,0.065,0.104,0.108,0.088,0.095
2,2,2,1,0.086,0.065,0.104,0.108,0.088,0.095,0.114
2,2,3,2,0.065,0.104,0.108,0.088,0.095,0.114,0.094
2,2,3,3,0.104,0.108,0.088,0.095,0.114,0.094,0.091
2,2,2,4,0.108,0.088,0.095,0.114,0.094,0.091,0.111
2,2,3,5,0.088,0.095,0.114,0.094,0.091,0.111,0.1
2,2,2,6,0.095,0.114,0.094,0.091,0.111,0.1,0.1
2,3,2,1,0.114,0.094,0.091,0.111,0.1,0.1,0.154
2,3,2,2,0.094,0.091,0.111,0.1,0.1,0.154,0.134
2,3,3,3,0.091,0.111,0.1,0.1,0.154,0.134,0.091
2,3,2,4,0.111,0.1,0.1,0.154,0.134,0.091,0.116
2,3,2,5,0.1,0.1,0.154,0.134,0.091,0.116,0.11
2,3,3,6,0.1,0.154,0.134,0.091,0.116,0.11,0.082
2,4,2,1,0.154,0.134,0.091,0.116,0.11,0.082,0.108
2,4,3,2,0.134,0.091,0.116,0.11,0.082,0.108,0.111
2,4,2,3,0.091,0.116,0.11,0.082,0.108,0.111,0.895
2,4,3,4,0.116,0.11,0.082,0.108,0.111,0.895,0.788
2,4,3,5,0.11,0.082,0.108,0.111,0.895,0.788,0.116
2,4,2,6,0.082,0.108,0.111,0.895,0.788,0.116,0.076
3,1,2,1,0.108,0.111,0.895,0.788,0.116,0.076,0.088
3,1,2,2,0.111,0.895,0.788,0.116,0.076,0.088,0.063
3,1,3,3,0.895,0.788,0.116,0.076,0.088,0.063,0.081
3,1,3,4,0.788,0.116,0.076,0.088,0.063,0.081,0.103
3,1,2,5,0.116,0.076,0.088,0.063,0.081,0.103,0.112
3,1,3,6,0.076,0.088,0.063,0.081,0.103,0.112,0.08
3,2,3,1,0.088,0.063,0.081,0.103,0.112,0.08,0.104
3,2,2,2,0.063,0.081,0.103,0.112,0.08,0.104,0.114
3,2,3,3,0.081,0.103,0.112,0.08,0.104,0.114,0.101
3,2,2,4,0.103,0.112,0.08,0.104,0.114,0.101,0.09
3,2,2,5,0.112,0.08,0.104,0.114,0.101,0.09,0.114
3,2,3,6,0.08,0.104,0.114,0.101,0.09,0.114,0.104
3,3,2,1,0.104,0.114,0.101,0.09,0.114,0.104,0.085
3,3,2,2,0.114,0.101,0.09,0.114,0.104,0.085,0.116
3,3,3,3,0.101,0.09,0.114,0.104,0.085,0.116,0.104
3,3,2,4,0.09,0.114,0.104,0.085,0.116,0.104,0.09
3,3,2,5,0.114,0.104,0.085,0.116,0.104,0.09,0.119
3,3,4,6,0.104,0.085,0.116,0.104,0.09,0.119,0.479
3,4,4,1,0.085,0.116,0.104,0.09,0.119,0.479,0.176
3,4,3,2,0.116,0.104,0.09,0.119,0.479,0.176,0.127
3,4,3,3,0.104,0.09,0.119,0.479,0.176,0.127,0.878
3,4,3,4,0.09,0.119,0.479,0.176,0.127,0.878,0.533
3,4,3,5,0.119,0.479,0.176,0.127,0.878,0.533,0.483
3,4,3,6,0.479,0.176,0.127,0.878,0.533,0.483,0.23
4,1,3,1,0.176,0.127,0.878,0.533,0.483,0.23,0.468
4,1,3,2,0.127,0.878,0.533,0.483,0.23,0.468,0.303
4,1,3,3,0.878,0.533,0.483,0.23,0.468,0.303,0.117
4,1,3,4,0.533,0.483,0.23,0.468,0.303,0.117,0.109
4,1,2,5,0.483,0.23,0.468,0.303,0.117,0.109,0.113
4,1,3,6,0.23,0.468,0.303,0.117,0.109,0.113,0.076
4,2,3,1,0.468,0.303,0.117,0.109,0.113,0.076,0.106
4,2,4,2,0.303,0.117,0.109,0.113,0.076,0.106,0.523
4,2,4,3,0.117,0.109,0.113,0.076,0.106,0.523,1.125
4,2,4,4,0.109,0.113,0.076,0.106,0.523,1.125,0.645
4,2,3,5,0.113,0.076,0.106,0.523,1.125,0.645,0.531
4,2,3,6,0.076,0.106,0.523,1.125,0.645,0.531,0.158
4,3,2,1,0.106,0.523,1.125,0.645,0.531,0.158,0.075
4,3,3,2,0.523,1.125,0.645,0.531,0.158,0.075,0.114
4,3,2,3,1.125,0.645,0.531,0.158,0.075,0.114,0.111
4,3,2,4,0.645,0.531,0.158,0.075,0.114,0.111,0.57
4,3,4,5,0.531,0.158,0.075,0.114,0.111,0.57,0.2
4,3,4,6,0.158,0.075,0.114,0.111,0.57,0.2,0.209
4,4,2,1,0.075,0.114,0.111,0.57,0.2,0.209,0.114
4,4,3,2,0.114,0.111,0.57,0.2,0.209,0.114,0.076
4,4,3,3,0.111,0.57,0.2,0.209,0.114,0.076,0.95
4,4,4,4,0.57,0.2,0.209,0.114,0.076,0.95,0.571
4,4,3,5,0.2,0.209,0.114,0.076,0.95,0.571,0.11
4,4,4,6,0.209,0.114,0.076,0.95,0.571,0.11,0.128
5,1,4,1,0.114,0.076,0.95,0.571,0.11,0.128,0.107
5,1,3,2,0.076,0.95,0.571,0.11,0.128,0.107,0.07
5,1,3,3,0.95,0.571,0.11,0.128,0.107,0.07,0.096
5,1,4,4,0.571,0.11,0.128,0.107,0.07,0.096,0.123
5,1,3,5,0.11,0.128,0.107,0.07,0.096,0.123,0.124
5,1,4,6,0.128,0.107,0.07,0.096,0.123,0.124,0.102
5,2,4,1,0.107,0.07,0.096,0.123,0.124,0.102,0.13
5,2,3,2,0.07,0.096,0.123,0.124,0.102,0.13,0.127
5,2,4,3,0.096,0.123,0.124,0.102,0.13,0.127,0.1
5,2,5,4,0.123,0.124,0.102,0.13,0.127,0.1,0.768
5,2,4,5,0.124,0.102,0.13,0.127,0.1,0.768,0.706
5,2,3,6,0.102,0.13,0.127,0.1,0.768,0.706,0.107
5,3,4,1,0.13,0.127,0.1,0.768,0.706,0.107,0.178
5,3,4,2,0.127,0.1,0.768,0.706,0.107,0.178,0.183
5,3,4,3,0.1,0.768,0.706,0.107,0.178,0.183,0.153
5,3,4,4,0.768,0.706,0.107,0.178,0.183,0.153,0.543
5,3,4,5,0.706,0.107,0.178,0.183,0.153,0.543,0.881
5,3,4,6,0.107,0.178,0.183,0.153,0.543,0.881,0.33
5,4,5,1,0.178,0.183,0.153,0.543,0.881,0.33,0.339
5,4,3,2,0.183,0.153,0.543,0.881,0.33,0.339,0.14
5,4,3,3,0.153,0.543,0.881,0.33,0.339,0.14,0.103
5,4,4,4,0.543,0.881,0.33,0.339,0.14,0.103,0.294
5,4,4,5,0.881,0.33,0.339,0.14,0.103,0.294,0.189
5,4,5,6,0.33,0.339,0.14,0.103,0.294,0.189,0.333
6,1,5,1,0.339,0.14,0.103,0.294,0.189,0.333,0.324
6,1,4,2,0.14,0.103,0.294,0.189,0.333,0.324,0.351
6,1,4,3,0.103,0.294,0.189,0.333,0.324,0.351,0.179
6,1,5,4,0.294,0.189,0.333,0.324,0.351,0.179,0.118
6,1,3,5,0.189,0.333,0.324,0.351,0.179,0.118,0.138
6,1,3,6,0.333,0.324,0.351,0.179,0.118,0.138,0.137
6,2,4,1,0.324,0.351,0.179,0.118,0.138,0.137,0.136
6,2,3,2,0.351,0.179,0.118,0.138,0.137,0.136,0.1
6,2,4,3,0.179,0.118,0.138,0.137,0.136,0.1,0.125
6,2,3,4,0.118,0.138,0.137,0.136,0.1,0.125,0.143
6,2,2,5,0.138,0.137,0.136,0.1,0.125,0.143,0.111
6,2,4,6,0.137,0.136,0.1,0.125,0.143,0.111,0.151
6,3,4,1,0.136,0.1,0.125,0.143,0.111,0.151,0.175
6,3,4,2,0.1,0.125,0.143,0.111,0.151,0.175,0.163
6,3,3,3,0.125,0.143,0.111,0.151,0.175,0.163,0.13
6,3,4,4,0.143,0.111,0.151,0.175,0.163,0.13,0.132
6,3,3,5,0.111,0.151,0.175,0.163,0.13,0.132,0.147
6,3,3,6,0.151,0.175,0.163,0.13,0.132,0.147,0.132
6,4,3,1,0.175,0.163,0.13,0.132,0.147,0.132,0.085
6,4,4,2,0.163,0.13,0.132,0.147,0.132,0.085,0.14
