KWH-6,KWH-5,KWH-4,KWH-3,KWH-2,KWH-1,KWH
0.137,0.099,0.125,0.289,0.864,0.18,1.127
0.099,0.125,0.289,0.864,0.18,1.127,1.042
0.125,0.289,0.864,0.18,1.127,1.042,0.114
0.289,0.864,0.18,1.127,1.042,0.114,0.158
0.864,0.18,1.127,1.042,0.114,0.158,0.134
0.18,1.127,1.042,0.114,0.158,0.134,0.117
1.127,1.042,0.114,0.158,0.134,0.117,0.116
1.042,0.114,0.158,0.134,0.117,0.116,0.123
0.114,0.158,0.134,0.117,0.116,0.123,0.129
0.158,0.134,0.117,0.116,0.123,0.129,0.123
0.134,0.117,0.116,0.123,0.129,0.123,0.134
0.117,0.116,0.123,0.129,0.123,0.134,1.03
0.116,0.123,0.129,0.123,0.134,1.03,0.756
0.123,0.129,0.123,0.134,1.03,0.756,0.123
0.129,0.123,0.134,1.03,0.756,0.123,0.124
0.123,0.134,1.03,0.756,0.123,0.124,0.117
0.134,1.03,0.756,0.123,0.124,0.117,0.118
1.03,0.756,0.123,0.124,0.117,0.118,0.12
0.756,0.123,0.124,0.117,0.118,0.12,0.135
0.123,0.124,0.117,0.118,0.12,0.135,0.101
0.124,0.117,0.118,0.12,0.135,0.101,0.121
0.117,0.118,0.12,0.135,0.101,0.121,0.135
0.118,0.12,0.135,0.101,0.121,0.135,0.122
0.12,0.135,0.101,0.121,0.135,0.122,0.109
0.135,0.101,0.121,0.135,0.122,0.109,0.132
0.101,0.121,0.135,0.122,0.109,0.132,0.132
0.121,0.135,0.122,0.109,0.132,0.132,0.104
0.135,0.122,0.109,0.132,0.132,0.104,0.14
0.122,0.109,0.132,0.132,0.104,0.14,0.139
0.109,0.132,0.132,0.104,0.14,0.139,1.04
0.132,0.132,0.104,0.14,0.139,1.04,0.347
0.132,0.104,0.14,0.139,1.04,0.347,0.167
0.104,0.14,0.139,1.04,0.347,0.167,0.128
0.14,0.139,1.04,0.347,0.167,0.128,0.416
0.139,1.04,0.347,0.167,0.128,0.416,1.081
1.04,0.347,0.167,0.128,0.416,1.081,0.14
0.347,0.167,0.128,0.416,1.081,0.14,0.102
0.167,0.128,0.416,1.081,0.14,0.102,0.083
0.128,0.416,1.081,0.14,0.102,0.083,0.106
0.416,1.081,0.14,0.102,0.083,0.106,0.131
1.081,0.14,0.102,0.083,0.106,0.131,0.139
0.14,0.102,0.083,0.106,0.131,0.139,0.09
0.102,0.083,0.106,0.131,0.139,0.09,0.121
0.083,0.106,0.131,0.139,0.09,0.121,0.136
0.106,0.131,0.139,0.09,0.121,0.136,0.119
0.131,0.139,0.09,0.121,0.136,0.119,0.12
0.139,0.09,0.121,0.136,0.119,0.12,0.13
0.09,0.121,0.136,0.119,0.12,0.13,0.333
0.121,0.136,0.119,0.12,0.13,0.333,0.45
0.136,0.119,0.12,0.13,0.333,0.45,0.25
0.119,0.12,0.13,0.333,0.45,0.25,0.17
0.12,0.13,0.333,0.45,0.25,0.17,0.117
0.13,0.333,0.45,0.25,0.17,0.117,0.14
0.333,0.45,0.25,0.17,0.117,0.14,0.124
0.45,0.25,0.17,0.117,0.14,0.124,0.101
0.25,0.17,0.117,0.14,0.124,0.101,0.136
0.17,0.117,0.14,0.124,0.101,0.136,0.135
0.117,0.14,0.124,0.101,0.136,0.135,0.11
0.14,0.124,0.101,0.136,0.135,0.11,0.139
0.124,0.101,0.136,0.135,0.11,0.139,0.135
0.101,0.136,0.135,0.11,0.139,0.135,0.066
0.136,0.135,0.11,0.139,0.135,0.066,0.097
0.135,0.11,0.139,0.135,0.066,0.097,0.136
0.11,0.139,0.135,0.066,0.097,0.136,0.097
0.139,0.135,0.066,0.097,0.136,0.097,0.141
0.135,0.066,0.097,0.136,0.097,0.141,0.12
0.066,0.097,0.136,0.097,0.141,0.12,0.092
0.097,0.136,0.097,0.141,0.12,0.092,0.138
0.136,0.097,0.141,0.12,0.092,0.138,0.137
0.097,0.141,0.12,0.092,0.138,0.137,0.098
0.141,0.12,0.092,0.138,0.137,0.098,0.137
0.12,0.092,0.138,0.137,0.098,0.137,0.129
0.092,0.138,0.137,0.098,0.137,0.129,0.096
0.138,0.137,0.098,0.137,0.129,0.096,0.146
0.137,0.098,0.137,0.129,0.096,0.146,0.176
0.098,0.137,0.129,0.096,0.146,0.176,1.315
0.137,0.129,0.096,0.146,0.176,1.315,0.139
0.129,0.096,0.146,0.176,1.315,0.139,0.132
0.096,0.146,0.176,1.315,0.139,0.132,0.091
0.146,0.176,1.315,0.139,0.132,0.091,0.136
0.176,1.315,0.139,0.132,0.091,0.136,0.14
1.315,0.139,0.132,0.091,0.136,0.14,0.103
0.139,0.132,0.091,0.136,0.14,0.103,0.138
0.132,0.091,0.136,0.14,0.103,0.138,0.141
0.091,0.136,0.14,0.103,0.138,0.141,0.091
0.136,0.14,0.103,0.138,0.141,0.091,0.122
0.14,0.103,0.138,0.141,0.091,0.122,0.137
0.103,0.138,0.141,0.091,0.122,0.137,0.104
0.138,0.141,0.091,0.122,0.137,0.104,0.132
0.141,0.091,0.122,0.137,0.104,0.132,0.132
0.091,0.122,0.137,0.104,0.132,0.132,0.097
0.122,0.137,0.104,0.132,0.132,0.097,0.122
0.137,0.104,0.132,0.132,0.097,0.122,0.138
0.104,0.132,0.132,0.097,0.122,0.138,0.112
0.132,0.132,0.097,0.122,0.138,0.112,0.126
0.132,0.097,0.122,0.138,0.112,0.126,0.13
0.097,0.122,0.138,0.112,0.126,0.13,0.116
0.122,0.138,0.112,0.126,0.13,0.116,0.126
0.138,0.112,0.126,0.13,0.116,0.126,0.131
0.112,0.126,0.13,0.116,0.126,0.131,0.26
0.126,0.13,0.116,0.126,0.131,0.26,1.23
0.13,0.116,0.126,0.131,0.26,1.23,0.384
0.116,0.126,0.131,0.26,1.23,0.384,0.109
0.126,0.131,0.26,1.23,0.384,0.109,0.118
0.131,0.26,1.23,0.384,0.109,0.118,0.148
0.26,1.23,0.384,0.109,0.118,0.148,0.131
1.23,0.384,0.109,0.118,0.148,0.131,0.102
0.384,0.109,0.118,0.148,0.131,0.102,0.14
0.109,0.118,0.148,0.131,0.102,0.14,0.123
0.118,0.148,0.131,0.102,0.14,0.123,0.102
0.148,0.131,0.102,0.14,0.123,0.102,0.135
0.131,0.102,0.14,0.123,0.102,0.135,0.123
0.102,0.14,0.123,0.102,0.135,0.123,0.111
0.14,0.123,0.102,0.135,0.123,0.111,0.125
0.123,0.102,0.135,0.123,0.111,0.125,0.125
0.102,0.135,0.123,0.111,0.125,0.125,0.112
0.135,0.123,0.111,0.125,0.125,0.112,0.127
0.123,0.111,0.125,0.125,0.112,0.127,0.127
0.111,0.125,0.125,0.112,0.127,0.127,0.115
0.125,0.125,0.112,0.127,0.127,0.115,0.124
0.125,0.112,0.127,0.127,0.115,0.124,0.963
0.112,0.127,0.127,0.115,0.124,0.963,0.22
0.127,0.127,0.115,0.124,0.963,0.22,0.219
0.127,0.115,0.124,0.963,0.22,0.219,0.141
0.115,0.124,0.963,0.22,0.219,0.141,0.543
0.124,0.963,0.22,0.219,0.141,0.543,1.241
0.963,0.22,0.219,0.141,0.543,1.241,0.358
0.22,0.219,0.141,0.543,1.241,0.358,1.48
0.219,0.141,0.543,1.241,0.358,1.48,0.35
0.141,0.543,1.241,0.358,1.48,0.35,0.112
0.543,1.241,0.358,1.48,0.35,0.112,0.14
1.241,0.358,1.48,0.35,0.112,0.14,0.129
0.358,1.48,0.35,0.112,0.14,0.129,0.109
1.48,0.35,0.112,0.14,0.129,0.109,0.121
0.35,0.112,0.14,0.129,0.109,0.121,0.114
0.112,0.14,0.129,0.109,0.121,0.114,0.123
0.14,0.129,0.109,0.121,0.114,0.123,0.131
0.129,0.109,0.121,0.114,0.123,0.131,0.09
0.109,0.121,0.114,0.123,0.131,0.09,0.141
0.121,0.114,0.123,0.131,0.09,0.141,0.137
0.114,0.123,0.131,0.09,0.141,0.137,0.083
0.123,0.131,0.09,0.141,0.137,0.083,0.139
0.131,0.09,0.141,0.137,0.083,0.139,0.129
0.09,0.141,0.137,0.083,0.139,0.129,0.093
0.141,0.137,0.083,0.139,0.129,0.093,0.148
0.137,0.083,0.139,0.129,0.093,0.148,0.157
0.083,0.139,0.129,0.093,0.148,0.157,0.172
0.139,0.129,0.093,0.148,0.157,0.172,0.191
0.129,0.093,0.148,0.157,0.172,0.191,0.169
0.093,0.148,0.157,0.172,0.191,0.169,0.159
0.148,0.157,0.172,0.191,0.169,0.159,0.642
0.157,0.172,0.191,0.169,0.159,0.642,1.059
0.172,0.191,0.169,0.159,0.642,1.059,0.121
0.191,0.169,0.159,0.642,1.059,0.121,0.142
0.169,0.159,0.642,1.059,0.121,0.142,0.143
0.159,0.642,1.059,0.121,0.142,0.143,0.114
0.642,1.059,0.121,0.142,0.143,0.114,0.111
1.059,0.121,0.142,0.143,0.114,0.111,0.502
0.121,0.142,0.143,0.114,0.111,0.502,1.135
0.142,0.143,0.114,0.111,0.502,1.135,0.128
0.143,0.114,0.111,0.502,1.135,0.128,0.109
0.114,0.111,0.502,1.135,0.128,0.109,0.126
0.111,0.502,1.135,0.128,0.109,0.126,0.123
0.502,1.135,0.128,0.109,0.126,0.123,0.131
1.135,0.128,0.109,0.126,0.123,0.131,0.129
0.128,0.109,0.126,0.123,0.131,0.129,0.136
0.109,0.126,0.123,0.131,0.129,0.136,0.126
0.126,0.123,0.131,0.129,0.136,0.126,0.104
0.123,0.131,0.129,0.136,0.126,0.104,0.137
0.131,0.129,0.136,0.126,0.104,0.137,0.124
0.129,0.136,0.126,0.104,0.137,0.124,0.096
0.136,0.126,0.104,0.137,0.124,0.096,0.146
0.126,0.104,0.137,0.124,0.096,0.146,0.133
0.104,0.137,0.124,0.096,0.146,0.133,0.097
0.137,0.124,0.096,0.146,0.133,0.097,0.141
0.124,0.096,0.146,0.133,0.097,0.141,0.12
0.096,0.146,0.133,0.097,0.141,0.12,0.098
0.146,0.133,0.097,0.141,0.12,0.098,0.12
0.133,0.097,0.141,0.12,0.098,0.12,0.114
0.097,0.141,0.12,0.098,0.12,0.114,1.008
0.141,0.12,0.098,0.12,0.114,1.008,0.786
0.12,0.098,0.12,0.114,1.008,0.786,0.097
0.098,0.12,0.114,1.008,0.786,0.097,0.118
0.12,0.114,1.008,0.786,0.097,0.118,0.139
0.114,1.008,0.786,0.097,0.118,0.139,0.1
1.008,0.786,0.097,0.118,0.139,0.1,0.118
0.786,0.097,0.118,0.139,0.1,0.118,0.125
0.097,0.118,0.139,0.1,0.118,0.125,0.115
0.118,0.139,0.1,0.118,0.125,0.115,0.138
0.139,0.1,0.118,0.125,0.115,0.138,0.097
0.1,0.118,0.125,0.115,0.138,0.097,0.13
0.118,0.125,0.115,0.138,0.097,0.13,0.997
0.125,0.115,0.138,0.097,0.13,0.997,0.191
0.115,0.138,0.097,0.13,0.997,0.191,0.303
0.138,0.097,0.13,0.997,0.191,0.303,1.255
0.097,0.13,0.997,0.191,0.303,1.255,0.197
0.13,0.997,0.191,0.303,1.255,0.197,0.482
0.997,0.191,0.303,1.255,0.197,0.482,1.826
0.191,0.303,1.255,0.197,0.482,1.826,0.56
0.303,1.255,0.197,0.482,1.826,0.56,0.684
1.255,0.197,0.482,1.826,0.56,0.684,0.216
0.197,0.482,1.826,0.56,0.684,0.216,0.48
0.482,1.826,0.56,0.684,0.216,0.48,1.493
1.826,0.56,0.684,0.216,0.48,1.493,0.72
0.56,0.684,0.216,0.48,1.493,0.72,1.315
0.684,0.216,0.48,1.493,0.72,1.315,0.244
0.216,0.48,1.493,0.72,1.315,0.244,0.114
0.48,1.493,0.72,1.315,0.244,0.114,0.121
1.493,0.72,1.315,0.244,0.114,0.121,0.126
0.72,1.315,0.244,0.114,0.121,0.126,0.099
1.315,0.244,0.114,0.121,0.126,0.099,0.134
0.244,0.114,0.121,0.126,0.099,0.134,0.108
0.114,0.121,0.126,0.099,0.134,0.108,0.11
0.121,0.126,0.099,0.134,0.108,0.11,0.159
0.126,0.099,0.134,0.108,0.11,0.159,0.094
0.099,0.134,0.108,0.11,0.159,0.094,0.126
0.134,0.108,0.11,0.159,0.094,0.126,0.123
0.108,0.11,0.159,0.094,0.126,0.123,0.118
0.11,0.159,0.094,0.126,0.123,0.118,0.117
0.159,0.094,0.126,0.123,0.118,0.117,0.139
0.094,0.126,0.123,0.118,0.117,0.139,0.143
0.126,0.123,0.118,0.117,0.139,0.143,0.095
0.123,0.118,0.117,0.139,0.143,0.095,0.12
0.118,0.117,0.139,0.143,0.095,0.12,0.133
0.117,0.139,0.143,0.095,0.12,0.133,0.129
0.139,0.143,0.095,0.12,0.133,0.129,0.102
0.143,0.095,0.12,0.133,0.129,0.102,0.13
0.095,0.12,0.133,0.129,0.102,0.13,0.127
0.12,0.133,0.129,0.102,0.13,0.127,0.09
0.133,0.129,0.102,0.13,0.127,0.09,0.073
0.129,0.102,0.13,0.127,0.09,0.073,0.126
0.102,0.13,0.127,0.09,0.073,0.126,0.119
0.13,0.127,0.09,0.073,0.126,0.119,0.123
0.127,0.09,0.073,0.126,0.119,0.123,0.095
0.09,0.073,0.126,0.119,0.123,0.095,0.13
0.073,0.126,0.119,0.123,0.095,0.13,0.134
0.126,0.119,0.123,0.095,0.13,0.134,0.088
0.119,0.123,0.095,0.13,0.134,0.088,0.125
0.123,0.095,0.13,0.134,0.088,0.125,0.143
0.095,0.13,0.134,0.088,0.125,0.143,0.124
0.13,0.134,0.088,0.125,0.143,0.124,0.128
0.134,0.088,0.125,0.143,0.124,0.128,0.113
0.088,0.125,0.143,0.124,0.128,0.113,0.174
0.125,0.143,0.124,0.128,0.113,0.174,1.123
0.143,0.124,0.128,0.113,0.174,1.123,0.633
0.124,0.128,0.113,0.174,1.123,0.633,0.116
0.128,0.113,0.174,1.123,0.633,0.116,0.131
0.113,0.174,1.123,0.633,0.116,0.131,0.67
0.174,1.123,0.633,0.116,0.131,0.67,1.517
1.123,0.633,0.116,0.131,0.67,1.517,0.23
0.633,0.116,0.131,0.67,1.517,0.23,0.233
0.116,0.131,0.67,1.517,0.23,0.233,0.094
0.131,0.67,1.517,0.23,0.233,0.094,0.106
0.67,1.517,0.23,0.233,0.094,0.106,0.096
1.517,0.23,0.233,0.094,0.106,0.096,0.094
0.23,0.233,0.094,0.106,0.096,0.094,0.13
0.233,0.094,0.106,0.096,0.094,0.13,0.124
0.094,0.106,0.096,0.094,0.13,0.124,0.081
0.106,0.096,0.094,0.13,0.124,0.081,0.136
0.096,0.094,0.13,0.124,0.081,0.136,0.139
0.094,0.13,0.124,0.081,0.136,0.139,0.929
0.13,0.124,0.081,0.136,0.139,0.929,0.466
0.124,0.081,0.136,0.139,0.929,0.466,0.135
0.081,0.136,0.139,0.929,0.466,0.135,0.078
0.136,0.139,0.929,0.466,0.135,0.078,0.173
0.139,0.929,0.466,0.135,0.078,0.173,0.174
0.929,0.466,0.135,0.078,0.173,0.174,0.1
0.466,0.135,0.078,0.173,0.174,0.1,0.132
0.135,0.078,0.173,0.174,0.1,0.132,0.143
0.078,0.173,0.174,0.1,0.132,0.143,0.118
0.173,0.174,0.1,0.132,0.143,0.118,0.099
0.174,0.1,0.132,0.143,0.118,0.099,0.139
0.1,0.132,0.143,0.118,0.099,0.139,0.107
0.132,0.143,0.118,0.099,0.139,0.107,0.954
0.143,0.118,0.099,0.139,0.107,0.954,0.508
0.118,0.099,0.139,0.107,0.954,0.508,0.083
0.099,0.139,0.107,0.954,0.508,0.083,0.111
0.139,0.107,0.954,0.508,0.083,0.111,0.125
0.107,0.954,0.508,0.083,0.111,0.125,0.093
0.954,0.508,0.083,0.111,0.125,0.093,0.123
0.508,0.083,0.111,0.125,0.093,0.123,0.126
0.083,0.111,0.125,0.093,0.123,0.126,0.107
0.111,0.125,0.093,0.123,0.126,0.107,0.119
0.125,0.093,0.123,0.126,0.107,0.119,0.113
0.093,0.123,0.126,0.107,0.119,0.113,0.129
0.123,0.126,0.107,0.119,0.113,0.129,1.152
0.126,0.107,0.119,0.113,0.129,1.152,0.515
0.107,0.119,0.113,0.129,1.152,0.515,0.159
0.119,0.113,0.129,1.152,0.515,0.159,0.176
0.113,0.129,1.152,0.515,0.159,0.176,0.187
0.129,1.152,0.515,0.159,0.176,0.187,0.163
1.152,0.515,0.159,0.176,0.187,0.163,0.146
0.515,0.159,0.176,0.187,0.163,0.146,0.171
0.159,0.176,0.187,0.163,0.146,0.171,0.123
0.176,0.187,0.163,0.146,0.171,0.123,0.121
0.187,0.163,0.146,0.171,0.123,0.121,0.125
0.163,0.146,0.171,0.123,0.121,0.125,0.104
0.146,0.171,0.123,0.121,0.125,0.104,0.13
0.171,0.123,0.121,0.125,0.104,0.13,0.454
0.123,0.121,0.125,0.104,0.13,0.454,1.157
0.121,0.125,0.104,0.13,0.454,1.157,0.139
0.125,0.104,0.13,0.454,1.157,0.139,0.081
0.104,0.13,0.454,1.157,0.139,0.081,0.1
0.13,0.454,1.157,0.139,0.081,0.1,0.126
0.454,1.157,0.139,0.081,0.1,0.126,0.116
1.157,0.139,0.081,0.1,0.126,0.116,0.101
0.139,0.081,0.1,0.126,0.116,0.101,0.12
0.081,0.1,0.126,0.116,0.101,0.12,0.119
0.1,0.126,0.116,0.101,0.12,0.119,0.118
0.126,0.116,0.101,0.12,0.119,0.118,0.136
0.116,0.101,0.12,0.119,0.118,0.136,0.093
0.101,0.12,0.119,0.118,0.136,0.093,0.115
0.12,0.119,0.118,0.136,0.093,0.115,0.135
0.119,0.118,0.136,0.093,0.115,0.135,0.09
0.118,0.136,0.093,0.115,0.135,0.09,0.129
0.136,0.093,0.115,0.135,0.09,0.129,0.168
0.093,0.115,0.135,0.09,0.129,0.168,0.09
0.115,0.135,0.09,0.129,0.168,0.09,0.133
0.135,0.09,0.129,0.168,0.09,0.133,1.102
0.09,0.129,0.168,0.09,0.133,1.102,0.58
0.129,0.168,0.09,0.133,1.102,0.58,0.168
0.168,0.09,0.133,1.102,0.58,0.168,0.143
0.09,0.133,1.102,0.58,0.168,0.143,0.097
0.133,1.102,0.58,0.168,0.143,0.097,0.128
1.102,0.58,0.168,0.143,0.097,0.128,0.103
0.58,0.168,0.143,0.097,0.128,0.103,0.081
0.168,0.143,0.097,0.128,0.103,0.081,0.121
0.143,0.097,0.128,0.103,0.081,0.121,0.134
0.097,0.128,0.103,0.081,0.121,0.134,0.096
0.128,0.103,0.081,0.121,0.134,0.096,0.116
0.103,0.081,0.121,0.134,0.096,0.116,0.136
0.081,0.121,0.134,0.096,0.116,0.136,0.09
0.121,0.134,0.096,0.116,0.136,0.09,0.717
0.134,0.096,0.116,0.136,0.09,0.717,0.737
0.096,0.116,0.136,0.09,0.717,0.737,0.871
0.116,0.136,0.09,0.717,0.737,0.871,0.273
0.136,0.09,0.717,0.737,0.871,0.273,0.242
0.09,0.717,0.737,0.871,0.273,0.242,0.135
0.717,0.737,0.871,0.273,0.242,0.135,0.171
0.737,0.871,0.273,0.242,0.135,0.171,0.127
0.871,0.273,0.242,0.135,0.171,0.127,0.105
0.273,0.242,0.135,0.171,0.127,0.105,0.367
0.242,0.135,0.171,0.127,0.105,0.367,0.097
0.135,0.171,0.127,0.105,0.367,0.097,0.113
0.171,0.127,0.105,0.367,0.097,0.113,0.14
0.127,0.105,0.367,0.097,0.113,0.14,0.631
0.105,0.367,0.097,0.113,0.14,0.631,0.76
0.367,0.097,0.113,0.14,0.631,0.76,0.147
0.097,0.113,0.14,0.631,0.76,0.147,0.058
0.113,0.14,0.631,0.76,0.147,0.058,0.119
0.14,0.631,0.76,0.147,0.058,0.119,0.142
0.631,0.76,0.147,0.058,0.119,0.142,0.072
0.76,0.147,0.058,0.119,0.142,0.072,0.141
0.147,0.058,0.119,0.142,0.072,0.141,0.132
0.058,0.119,0.142,0.072,0.141,0.132,0.08
0.119,0.142,0.072,0.141,0.132,0.08,0.148
0.142,0.072,0.141,0.132,0.08,0.148,0.113
0.072,0.141,0.132,0.08,0.148,0.113,0.101
0.141,0.132,0.08,0.148,0.113,0.101,0.135
0.132,0.08,0.148,0.113,0.101,0.135,0.107
0.08,0.148,0.113,0.101,0.135,0.107,0.141
0.148,0.113,0.101,0.135,0.107,0.141,0.166
0.113,0.101,0.135,0.107,0.141,0.166,0.168
0.101,0.135,0.107,0.141,0.166,0.168,0.533
0.135,0.107,0.141,0.166,0.168,0.533,1.127
0.107,0.141,0.166,0.168,0.533,1.127,0.132
0.141,0.166,0.168,0.533,1.127,0.132,0.097
0.166,0.168,0.533,1.127,0.132,0.097,0.131
0.168,0.533,1.127,0.132,0.097,0.131,0.341
0.533,1.127,0.132,0.097,0.131,0.341,1.097
1.127,0.132,0.097,0.131,0.341,1.097,0.276
0.132,0.097,0.131,0.341,1.097,0.276,0.108
0.097,0.131,0.341,1.097,0.276,0.108,0.101
0.131,0.341,1.097,0.276,0.108,0.101,0.093
0.341,1.097,0.276,0.108,0.101,0.093,0.112
1.097,0.276,0.108,0.101,0.093,0.112,0.122
0.276,0.108,0.101,0.093,0.112,0.122,0.12
0.108,0.101,0.093,0.112,0.122,0.12,0.103
0.101,0.093,0.112,0.122,0.12,0.103,0.13
0.093,0.112,0.122,0.12,0.103,0.13,0.118
0.112,0.122,0.12,0.103,0.13,0.118,0.101
0.122,0.12,0.103,0.13,0.118,0.101,0.146
0.12,0.103,0.13,0.118,0.101,0.146,1.15
0.103,0.13,0.118,0.101,0.146,1.15,0.5
0.13,0.118,0.101,0.146,1.15,0.5,0.498
0.118,0.101,0.146,1.15,0.5,0.498,0.217
0.101,0.146,1.15,0.5,0.498,0.217,0.375
0.146,1.15,0.5,0.498,0.217,0.375,0.402
1.15,0.5,0.498,0.217,0.375,0.402,0.138
0.5,0.498,0.217,0.375,0.402,0.138,0.519
0.498,0.217,0.375,0.402,0.138,0.519,0.198
0.217,0.375,0.402,0.138,0.519,0.198,1.74
0.375,0.402,0.138,0.519,0.198,1.74,0.52
0.402,0.138,0.519,0.198,1.74,0.52,0.673
0.138,0.519,0.198,1.74,0.52,0.673,0.508
0.519,0.198,1.74,0.52,0.673,0.508,0.745
0.198,1.74,0.52,0.673,0.508,0.745,0.994
1.74,0.52,0.673,0.508,0.745,0.994,0.67
0.52,0.673,0.508,0.745,0.994,0.67,0.806
0.673,0.508,0.745,0.994,0.67,0.806,0.931
0.508,0.745,0.994,0.67,0.806,0.931,0.144
0.745,0.994,0.67,0.806,0.931,0.144,0.12
0.994,0.67,0.806,0.931,0.144,0.12,0.124
0.67,0.806,0.931,0.144,0.12,0.124,0.117
0.806,0.931,0.144,0.12,0.124,0.117,0.111
0.931,0.144,0.12,0.124,0.117,0.111,0.476
0.144,0.12,0.124,0.117,0.111,0.476,1.11
0.12,0.124,0.117,0.111,0.476,1.11,0.125
0.124,0.117,0.111,0.476,1.11,0.125,1.128
0.117,0.111,0.476,1.11,0.125,1.128,0.333
0.111,0.476,1.11,0.125,1.128,0.333,0.414
0.476,1.11,0.125,1.128,0.333,0.414,1.542
1.11,0.125,1.128,0.333,0.414,1.542,0.763
0.125,1.128,0.333,0.414,1.542,0.763,2.006
1.128,0.333,0.414,1.542,0.763,2.006,0.221
0.333,0.414,1.542,0.763,2.006,0.221,0.964
0.414,1.542,0.763,2.006,0.221,0.964,1.061
1.542,0.763,2.006,0.221,0.964,1.061,0.895
0.763,2.006,0.221,0.964,1.061,0.895,0.904
2.006,0.221,0.964,1.061,0.895,0.904,0.359
0.221,0.964,1.061,0.895,0.904,0.359,0.266
0.964,1.061,0.895,0.904,0.359,0.266,0.122
1.061,0.895,0.904,0.359,0.266,0.122,0.144
0.895,0.904,0.359,0.266,0.122,0.144,0.108
0.904,0.359,0.266,0.122,0.144,0.108,0.107
0.359,0.266,0.122,0.144,0.108,0.107,0.135
0.266,0.122,0.144,0.108,0.107,0.135,0.093
0.122,0.144,0.108,0.107,0.135,0.093,0.129
0.144,0.108,0.107,0.135,0.093,0.129,0.264
0.108,0.107,0.135,0.093,0.129,0.264,0.1
0.107,0.135,0.093,0.129,0.264,0.1,0.115
0.135,0.093,0.129,0.264,0.1,0.115,0.141
0.093,0.129,0.264,0.1,0.115,0.141,0.094
0.129,0.264,0.1,0.115,0.141,0.094,0.295
0.264,0.1,0.115,0.141,0.094,0.295,0.941
0.1,0.115,0.141,0.094,0.295,0.941,1.215
0.115,0.141,0.094,0.295,0.941,1.215,0.191
0.141,0.094,0.295,0.941,1.215,0.191,0.158
0.094,0.295,0.941,1.215,0.191,0.158,0.102
0.295,0.941,1.215,0.191,0.158,0.102,0.136
0.941,1.215,0.191,0.158,0.102,0.136,0.109
1.215,0.191,0.158,0.102,0.136,0.109,0.108
0.191,0.158,0.102,0.136,0.109,0.108,0.125
0.158,0.102,0.136,0.109,0.108,0.125,0.104
0.102,0.136,0.109,0.108,0.125,0.104,0.098
0.136,0.109,0.108,0.125,0.104,0.098,0.119
0.109,0.108,0.125,0.104,0.098,0.119,0.086
0.108,0.125,0.104,0.098,0.119,0.086,0.124
0.125,0.104,0.098,0.119,0.086,0.124,0.215
0.104,0.098,0.119,0.086,0.124,0.215,1.154
0.098,0.119,0.086,0.124,0.215,1.154,0.134
0.119,0.086,0.124,0.215,1.154,0.134,0.121
0.086,0.124,0.215,1.154,0.134,0.121,0.102
0.124,0.215,1.154,0.134,0.121,0.102,0.138
0.215,1.154,0.134,0.121,0.102,0.138,0.795
1.154,0.134,0.121,0.102,0.138,0.795,0.19
0.134,0.121,0.102,0.138,0.795,0.19,0.192
0.121,0.102,0.138,0.795,0.19,0.192,0.93
0.102,0.138,0.795,0.19,0.192,0.93,0.562
0.138,0.795,0.19,0.192,0.93,0.562,0.139
0.795,0.19,0.192,0.93,0.562,0.139,0.089
0.19,0.192,0.93,0.562,0.139,0.089,0.129
0.192,0.93,0.562,0.139,0.089,0.129,0.13
0.93,0.562,0.139,0.089,0.129,0.13,0.091
0.562,0.139,0.089,0.129,0.13,0.091,0.132
0.139,0.089,0.129,0.13,0.091,0.132,0.289
0.089,0.129,0.13,0.091,0.132,0.289,1.142
0.129,0.13,0.091,0.132,0.289,1.142,0.355
0.13,0.091,0.132,0.289,1.142,0.355,0.091
0.091,0.132,0.289,1.142,0.355,0.091,0.082
0.132,0.289,1.142,0.355,0.091,0.082,0.129
0.289,1.142,0.355,0.091,0.082,0.129,0.103
1.142,0.355,0.091,0.082,0.129,0.103,0.122
0.355,0.091,0.082,0.129,0.103,0.122,0.132
0.091,0.082,0.129,0.103,0.122,0.132,0.084
0.082,0.129,0.103,0.122,0.132,0.084,0.144
0.129,0.103,0.122,0.132,0.084,0.144,0.125
0.103,0.122,0.132,0.084,0.144,0.125,0.09
0.122,0.132,0.084,0.144,0.125,0.09,0.138
0.132,0.084,0.144,0.125,0.09,0.138,0.169
0.084,0.144,0.125,0.09,0.138,0.169,0.157
0.144,0.125,0.09,0.138,0.169,0.157,0.363
0.125,0.09,0.138,0.169,0.157,0.363,0.11
0.09,0.138,0.169,0.157,0.363,0.11,0.145
0.138,0.169,0.157,0.363,0.11,0.145,0.146
0.169,0.157,0.363,0.11,0.145,0.146,0.098
0.157,0.363,0.11,0.145,0.146,0.098,0.121
0.363,0.11,0.145,0.146,0.098,0.121,0.136
0.11,0.145,0.146,0.098,0.121,0.136,0.903
0.145,0.146,0.098,0.121,0.136,0.903,0.719
0.146,0.098,0.121,0.136,0.903,0.719,0.122
0.098,0.121,0.136,0.903,0.719,0.122,0.115
0.121,0.136,0.903,0.719,0.122,0.115,0.117
0.136,0.903,0.719,0.122,0.115,0.117,0.083
0.903,0.719,0.122,0.115,0.117,0.083,0.121
0.719,0.122,0.115,0.117,0.083,0.121,0.133
0.122,0.115,0.117,0.083,0.121,0.133,0.097
0.115,0.117,0.083,0.121,0.133,0.097,0.115
